exp_name;algorithm;env_name;ep_len;num_agent_train_steps_per_iter;n_iter;batch_size;eval_batch_size;train_batch_size;n_layers;size;learning_rate;max_replay_buffer_size;reward_mean;reward_std;expert_reward
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_7;bc;humanoidv2;48;5000;1;5000;1000;1000;2;64;0.005;1000000;241.45;60.08;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_2;bc;humanoidv2;50;5000;1;5000;1000;1000;2;64;0.005;1000000;253.31;86.83;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_3;bc;humanoidv2;55;5000;1;5000;1000;1000;2;64;0.005;1000000;279.03;65.12;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000humanoid_6;bc;humanoidv2;55;5000;1;5000;1000;1000;2;64;0.005;1000000;280.72;79.61;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_10;bc;humanoidv2;53;5000;1;5000;1000;1000;4;64;0.005;1000000;276.73;65.84;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_5;bc;humanoidv2;53;5000;1;5000;1000;1000;4;64;0.005;1000000;271.37;105.64;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_6;bc;humanoidv2;54;5000;1;5000;1000;1000;4;64;0.005;1000000;281.03;98.51;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_3;bc;humanoidv2;54;5000;1;5000;1000;1000;4;64;0.005;1000000;277.9;82.47;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_7;bc;humanoidv2;54;5000;1;5000;1000;1000;4;64;0.005;1000000;280.09;87.2;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_9;bc;humanoidv2;60;5000;1;5000;1000;1000;4;64;0.005;1000000;307.77;81.79;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_8;bc;humanoidv2;46;5000;1;5000;1000;1000;4;64;0.005;1000000;228.81;47.92;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_2;bc;humanoidv2;55;5000;1;5000;1000;1000;4;64;0.005;1000000;284.03;88.25;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_4;bc;humanoidv2;63;5000;1;5000;1000;1000;4;64;0.005;1000000;321.02;98.98;10344.52
train_steps_5000_batch_size_5000_batch_train_eval_1000_layers_4humanoid_1;bc;humanoidv2;49;5000;1;5000;1000;1000;4;64;0.005;1000000;249.46;62.36;10344.52
biggest_humanoid_bc_6;bc;humanoidv2;48;50000;1;10000;5000;5000;4;128;0.005;1000000;239.35;69.8;10344.52
biggest_humanoid_bc_9;bc;humanoidv2;47;50000;1;10000;5000;5000;4;128;0.005;1000000;240.84;68.83;10344.52
biggest_humanoid_bc_10;bc;humanoidv2;51;50000;1;10000;5000;5000;4;128;0.005;1000000;259.72;66.38;10344.52
biggest_humanoid_bc_3;bc;humanoidv2;51;50000;1;10000;5000;5000;4;128;0.005;1000000;263.85;70.46;10344.52
biggest_humanoid_bc_5;bc;humanoidv2;51;50000;1;10000;5000;5000;4;128;0.005;1000000;258.4;74.4;10344.52
biggest_humanoid_bc_7;bc;humanoidv2;52;50000;1;10000;5000;5000;4;128;0.005;1000000;262.89;62.92;10344.52
biggest_humanoid_bc_4;bc;humanoidv2;51;50000;1;10000;5000;5000;4;128;0.005;1000000;265.42;77.44;10344.52
biggest_humanoid_bc_8;bc;humanoidv2;49;50000;1;10000;5000;5000;4;128;0.005;1000000;253.77;70.54;10344.52
biggest_humanoid_bc_1;bc;humanoidv2;52;50000;1;10000;5000;5000;4;128;0.005;1000000;262.58;62.29;10344.52
biggest_humanoid_bc_2;bc;humanoidv2;45;50000;1;10000;5000;5000;4;128;0.005;1000000;226.9;67.86;10344.52
first_dagger_humanoidv2_4;dagger;humanoidv2;144;1000;20;1000;200;100;2;64;0.005;1000000;834.74;205.77;10344.52
first_dagger_humanoidv2_1;dagger;humanoidv2;136;1000;20;1000;200;100;2;64;0.005;1000000;786.12;78.06;10344.52
first_dagger_humanoidv2_3;dagger;humanoidv2;111;1000;20;1000;200;100;2;64;0.005;1000000;694.15;102.16;10344.52
first_dagger_humanoidv2_8;dagger;humanoidv2;91;1000;20;1000;200;100;2;64;0.005;1000000;553.07;61.53;10344.52
first_dagger_humanoidv2_5;dagger;humanoidv2;118;1000;20;1000;200;100;2;64;0.005;1000000;785.36;230.24;10344.52
first_dagger_humanoidv2_10;dagger;humanoidv2;113;1000;20;1000;200;100;2;64;0.005;1000000;721.92;207.76;10344.52
first_dagger_humanoidv2_2;dagger;humanoidv2;112;1000;20;1000;200;100;2;64;0.005;1000000;697.23;82.33;10344.52
first_dagger_humanoidv2_9;dagger;humanoidv2;102;1000;20;1000;200;100;2;64;0.005;1000000;630.81;119.63;10344.52
first_dagger_humanoidv2_7;dagger;humanoidv2;114;1000;20;1000;200;100;2;64;0.005;1000000;638.82;47.6;10344.52
first_dagger_humanoidv2_6;dagger;humanoidv2;105;1000;20;1000;200;100;2;64;0.005;1000000;616.34;97.78;10344.52
dagger_iter_train5000_humanoidv2_3;dagger;humanoidv2;116;5000;20;1000;200;100;2;64;0.005;1000000;733.4;117.11;10344.52
dagger_iter_train5000_humanoidv2_5;dagger;humanoidv2;158;5000;20;1000;200;100;2;64;0.005;1000000;1051.21;212.23;10344.52
dagger_iter_train5000_humanoidv2_6;dagger;humanoidv2;121;5000;20;1000;200;100;2;64;0.005;1000000;779.88;215.83;10344.52
dagger_iter_train5000_humanoidv2_8;dagger;humanoidv2;150;5000;20;1000;200;100;2;64;0.005;1000000;972.88;201.33;10344.52
dagger_iter_train5000_humanoidv2_7;dagger;humanoidv2;145;5000;20;1000;200;100;2;64;0.005;1000000;966.54;431.61;10344.52
